time,target,measured,raw,action,error,controller,PID.Kp,PID.Ki,PID.Kd,TBH.gain,TBH.approx,allow-readify
1757.3787,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1757.3787,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1757.5786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1757.5786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1757.5786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1757.5786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1757.5786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1757.7787,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1757.7787,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1757.9786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1757.9786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1757.9786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1757.9786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.1787,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.1787,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.3787,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.3787,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.3787,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.3787,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.3787,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.5787,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.5787,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.7786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.7786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.7786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.7786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.7786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
1758.7786,0.0,0.0,0.0,6.339641,0.0,TBH,-0.1,-0.2,0.0,-0.12,0.0,1.0
